id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4649884463138521,KkVIOdatj,1401739601,德清姚明星,【姚明星】亡羊补牢犹未为晚——甘肃白银越野赛事件带来的反思O网页链接（使用@美篇App创作）,,,美篇,,0,0,0,2021-06-19 19:31,美篇,['http://ww3.sinaimg.cn/large/538cd951gy1grnsypmv7tj20ku0b3q4z.jpg'],,
4649842154934243,KkUCzkHCz,7444220508,XYH2a,#甘肃山地马拉松16名参赛选手遇难#【#甘肃景泰一马拉松百公里越野赛已发现16人遇难#】记者从黄河石林山地马拉松百公里越野赛失联救援指挥部获悉，22日上午在甘肃省白银市景泰县黄河石林景区举行的黄河石林山地马拉松百公里越野赛遭遇极端天气，截至O23日3时，已发现16人遇难，还有5人失联正在救援中。　　据指挥部介绍，当天中午1点左右，百公里越野赛高海拔赛段20公里至31公里处，受突变极端天气影响，局地出现冰雹、冻雨、大风等灾害性天气，气温骤降，参赛人员出现身体不适、失温等情况，部分参赛人员失联，比赛停止。当地马上组织多方力量搜救失联人员。　　接到当地报告后，甘肃省委、省政府第一时间召开专题会议，立即启动应急预案，成立失联救援指挥部并组织救援力量700余人投入搜救。由于赛段内地形地貌复杂，夜间气温再度下降，搜救难度较大。截至O23日3时，151名参赛人员已经确认安全，其中轻伤5人在医院救治，情况稳定。16名参赛人员找到时已失去生命体征，另有5人仍在进一步搜救中。　　据介绍，该赛事由白银市委、市政府主办，景泰县承办，具体赛事运营由甘肃晟景体育文化发展有限公司负责，共计172人参与百公里越野赛。（记者郭刚、李杰、范培珅）辽宁省沈阳市铁西区贵和小学在2020年12月19号高级职称评定中，沈阳市文件要求公开公平公正！我要求公开参评老师的所有参评材料却遭到张校长的拒绝。拒绝的理由是：1.孙老师不同意公开。2.只公布分数，说是半公开。在我向上级投诉一周之后才让公开。参评的孙老师有一证书是辽宁省政府办公厅发的证书，当我问到取得证书的原因时，她拿出一份沈阳市委组织部的情况说明，说明里没有关于她的辽宁省政府办公厅的证书的内容。我有疑惑，问校长原因时，张校长说都是真的，孙老师就评上了高级。孙老师的辽宁省政府办公厅的证书与沈阳市委组织部的说明材料不匹配。投诉五个多月了，没有人管。O政策法规不容践踏,,,,"甘肃山地马拉松16名参赛选手遇难,甘肃景泰一马拉松百公里越野赛已发现16人遇难",0,0,0,2021-06-19 16:43,华为手机 畅享玩不停,,,
4649831668122299,KkUlEy4YP,6478492351,晚点遇见你521余生都是你,甘肃白银越野赛事故，27名领导兄长被追责!O网页链接,,,,,0,0,0,2021-06-19 16:02,iPhone XS Max,['http://ww4.sinaimg.cn/large/0074r5O7ly1grnmwhprinj30u00cs4h8.jpg'],,
4649741227395355,KkRZMv1RV,5482713270,向7777,•闲煮岁月•1躺平的反义词是蓬勃生长（1快乐感和满意度2心理和身体健康3人生意义和价值感4性格和品德5亲密关系）。电影《了不起的爸爸》应景于父亲节，一个憨胖的出租车司机陪视障儿跑全程马拉松感人的故事让人有种蓬勃生长的感觉。又联想到白银越野赛逝去的生命们，有的人为了活着就已经很努力了，有的人却轻视生命。拿命堵一生。我拿青春赌明天，你用真情换此生，岁月不知人间，多少的忧伤，何不潇洒走一回！,,银川·观湖壹号,,,0,0,1,2021-06-19 10:02,OPPO Reno5 5G,['http://ww3.sinaimg.cn/large/005Z2Ubcly1grnci98s5qj31400u07gu.jpg'],,
