id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4645125772807423,KiVVvbMl1,2651153623,健康界,竟然用甘肃白银越野赛的图片做广告？,,,,,34,35,32,2021-06-06 16:22,健康界Android,"['http://ww2.sinaimg.cn/large/9e0564d7ly1gr8mf8r44yj20u01h6tdm.jpg', 'http://ww2.sinaimg.cn/large/9e0564d7ly1gr8mf9fqw6j20gy0u0aht.jpg', 'http://ww3.sinaimg.cn/large/9e0564d7ly1gr8mf9ss9oj20lv0rck0r.jpg']",,
4645239060695929,KiYSe2V2F,6596244175,想要骑车的小黑,没话说，去死吧//@跑野大爆炸:疯了用甘肃白银越野赛选手抱在一起保温的照片做广告？//@李十针SC:网爆它，狗日的//@彦羽:@小蓝象排汗内衣做个人吧//@微创外科双5枪:,,,"跑野大爆炸,李十针SC,彦羽,小蓝象排汗内衣,微创外科双5枪",,0,1,0,2021-06-06 23:52,OnePlus 8T,,,4645125772807423
4645233000976101,KiYIs45Vz,1654449090,远古文物夏青花,【兰新线事故9名遇难者均为女性】报道里说她们全是外包人员。相关的微博、新闻报道和豆瓣的帖子都被删掉了，我这里的转发也被屏蔽，不知道为什么。找了找截图，留存一下吧。#兰新线一列车与施工人员相撞9人遇难#,,,,兰新线一列车与施工人员相撞9人遇难,8127,157,16453,2021-06-06 23:28,贞观元年的Android,"['http://ww1.sinaimg.cn/large/629ce3c2ly1gr8ymwjqhhj20qo0vp43e.jpg', 'http://ww4.sinaimg.cn/large/629ce3c2ly1gr8ynzzy4wj20u01uotlv.jpg', 'http://ww3.sinaimg.cn/large/629ce3c2ly1gr8yotp33ij20u066cnpd.jpg']",,
4645237752334661,KiYQ79NlP,1700950850,crystal53451,这件事情也是难以想象，就像白银越野赛//@kimiamber://@敦煌郡公:转发微博,,,"kimiamber,敦煌郡公",,20,0,0,2021-06-06 23:47,iPhone客户端,,,4645233000976101
4645235182016450,KiYLY8szo,1890062404,正宗天下之大,//@王强毛巾:这种心黑手毒之人，产品能保证吗？//@生活如歌Larry:疯了//@跑野大爆炸:疯了用甘肃白银越野赛选手抱在一起保温的照片做广告？//@李十针SC:网爆它，狗日的//@彦羽:@小蓝象排汗内衣做个人吧//@微创外科双5枪:,,,"王强毛巾,生活如歌Larry,跑野大爆炸,李十针SC,彦羽,小蓝象排汗内衣,微创外科双5枪",,0,0,0,2021-06-06 23:37,360安全浏览器,,,4645125772807423
4645226418806083,KiYxPAWRB,5405172064,社畜花美男,『这里是白银越野赛全部21位逝者的故事』O这里是白银越野赛全部21位逝者的故事,,,,,0,0,0,2021-06-06 23:02,iPhone XS Max,,,
4645216902713142,KiYiubnOm,5729479009,舒屋潮袜时尚,//@王强毛巾:这种心黑手毒之人，产品能保证吗？//@生活如歌Larry:疯了//@跑野大爆炸:疯了用甘肃白银越野赛选手抱在一起保温的照片做广告？//@李十针SC:网爆它，狗日的//@彦羽:@小蓝象排汗内衣做个人吧//@微创外科双5枪:,,,"王强毛巾,生活如歌Larry,跑野大爆炸,李十针SC,彦羽,小蓝象排汗内衣,微创外科双5枪",,0,0,0,2021-06-06 22:24,iPhone客户端,,,4645125772807423
4645215510205446,KiYgf0RrE,1756677143,欢乐宋,有病吧！这是人做的事？！//@跑野大爆炸:疯了用甘肃白银越野赛选手抱在一起保温的照片做广告？//@李十针SC:网爆它，狗日的//@彦羽:@小蓝象排汗内衣做个人吧//@微创外科双5枪:,,,"跑野大爆炸,李十针SC,彦羽,小蓝象排汗内衣,微创外科双5枪",,0,0,0,2021-06-06 22:19,Mac客户端,,,4645125772807423
4645210791609883,KiY8D6KNR,2506134112,Jacky_patience,@小蓝象排汗内衣你们的商品宣传海报居然用的是前不久白银越野赛遇难者的照片，用这种方式来推广你们的产品合适吗？你们用这种方式又一次加深了他们的家人及朋友的悲痛之情，与他们而言更是雪上加霜，你们吃着遇难者人血馒头，同时还宣传着你们的产品，你们真的还算人吗？…..相信你们这种无良企业倒闭破产只是时间问题。,,,小蓝象排汗内衣,,1,12,9,2021-06-06 22:00,iPhone客户端,['http://ww4.sinaimg.cn/large/95609260gy1gr8v1d8as1j20gy0u0n0o.jpg'],,
4645203421695725,KiXWK778p,1892433591,王强毛巾,这种心黑手毒之人，产品能保证吗？//@生活如歌Larry:疯了//@跑野大爆炸:疯了用甘肃白银越野赛选手抱在一起保温的照片做广告？//@李十针SC:网爆它，狗日的//@彦羽:@小蓝象排汗内衣做个人吧//@微创外科双5枪:,,,"生活如歌Larry,跑野大爆炸,李十针SC,彦羽,小蓝象排汗内衣,微创外科双5枪",,2,0,0,2021-06-06 21:31,微博 weibo.com,,,4645125772807423
