id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4649884463138521,KkVIOdatj,1401739601,德清姚明星,【姚明星】亡羊补牢犹未为晚——甘肃白银越野赛事件带来的反思O网页链接（使用@美篇App创作）,,,美篇,,0,0,0,2021-06-19 19:31,美篇,['http://ww4.sinaimg.cn/large/538cd951gy1grnsypmv7tj20ku0b3q4z.jpg'],,
4649842154934243,KkUCzkHCz,7444220508,XYH2a,#甘肃山地马拉松16名参赛选手遇难#【#甘肃景泰一马拉松百公里越野赛已发现16人遇难#】记者从黄河石林山地马拉松百公里越野赛失联救援指挥部获悉，22日上午在甘肃省白银市景泰县黄河石林景区举行的黄河石林山地马拉松百公里越野赛遭遇极端天气，截至O23日3时，已发现16人遇难，还有5人失联正在救援中。　　据指挥部介绍，当天中午1点左右，百公里越野赛高海拔赛段20公里至31公里处，受突变极端天气影响，局地出现冰雹、冻雨、大风等灾害性天气，气温骤降，参赛人员出现身体不适、失温等情况，部分参赛人员失联，比赛停止。当地马上组织多方力量搜救失联人员。　　接到当地报告后，甘肃省委、省政府第一时间召开专题会议，立即启动应急预案，成立失联救援指挥部并组织救援力量700余人投入搜救。由于赛段内地形地貌复杂，夜间气温再度下降，搜救难度较大。截至O23日3时，151名参赛人员已经确认安全，其中轻伤5人在医院救治，情况稳定。16名参赛人员找到时已失去生命体征，另有5人仍在进一步搜救中。　　据介绍，该赛事由白银市委、市政府主办，景泰县承办，具体赛事运营由甘肃晟景体育文化发展有限公司负责，共计172人参与百公里越野赛。（记者郭刚、李杰、范培珅）辽宁省沈阳市铁西区贵和小学在2020年12月19号高级职称评定中，沈阳市文件要求公开公平公正！我要求公开参评老师的所有参评材料却遭到张校长的拒绝。拒绝的理由是：1.孙老师不同意公开。2.只公布分数，说是半公开。在我向上级投诉一周之后才让公开。参评的孙老师有一证书是辽宁省政府办公厅发的证书，当我问到取得证书的原因时，她拿出一份沈阳市委组织部的情况说明，说明里没有关于她的辽宁省政府办公厅的证书的内容。我有疑惑，问校长原因时，张校长说都是真的，孙老师就评上了高级。孙老师的辽宁省政府办公厅的证书与沈阳市委组织部的说明材料不匹配。投诉五个多月了，没有人管。O政策法规不容践踏,,,,"甘肃山地马拉松16名参赛选手遇难,甘肃景泰一马拉松百公里越野赛已发现16人遇难",0,0,0,2021-06-19 16:43,华为手机 畅享玩不停,,,
4649831668122299,KkUlEy4YP,6478492351,晚点遇见你521余生都是你,甘肃白银越野赛事故，27名领导兄长被追责!O网页链接,,,,,0,0,0,2021-06-19 16:02,iPhone XS Max,['http://ww3.sinaimg.cn/large/0074r5O7ly1grnmwhprinj30u00cs4h8.jpg'],,
4649741227395355,KkRZMv1RV,5482713270,向7777,•闲煮岁月•1躺平的反义词是蓬勃生长（1快乐感和满意度2心理和身体健康3人生意义和价值感4性格和品德5亲密关系）。电影《了不起的爸爸》应景于父亲节，一个憨胖的出租车司机陪视障儿跑全程马拉松感人的故事让人有种蓬勃生长的感觉。又联想到白银越野赛逝去的生命们，有的人为了活着就已经很努力了，有的人却轻视生命。拿命堵一生。我拿青春赌明天，你用真情换此生，岁月不知人间，多少的忧伤，何不潇洒走一回！,,银川·观湖壹号,,,0,0,1,2021-06-19 10:02,OPPO Reno5 5G,['http://ww3.sinaimg.cn/large/005Z2Ubcly1grnci98s5qj31400u07gu.jpg'],,
4648799757144083,KktvhtYv9,5882361322,四川人在甘肃,【#甘肃##会宁最大的城市综合体烂尾#，建筑商违法售卖法院裁定确权房屋致项目无法推进】本人邓绍江，现反映中宏建(厦门)建设有限公司甘肃分公司(以下简称“中宏建甘肃公司”)负责人何伟涉嫌拒不执行法院判决裁定、虚构事实构成合同诈骗等犯罪事实，导致甘肃会宁最大的城市综合体无法顺利收尾，项目工作无法推进。烂尾5年的项目僵持，无法继续前进，项目无法早日入住，项目难以按期交房，政府的形象遭遇破坏性影响，购房者应有的权益也无法得到保障。事实和理由：邓绍江与甘肃新雅房地产开发有限公司(以下简称“新雅公司”)施工合同纠纷执行一案经白银市中级人民法院处理，在执行过程中双方达成和解协议，白银市中级人民法院依据和解协议作出了(2019)甘04执9号之三的执行裁定书(附件三)，邓绍江按协议约定及执行裁定书将新雅公司抵顶的90套房产已于2019年12月全部备案登记在自己名下，等待新雅公司交付房屋钥匙。其间，何伟以案外人名义提出异议，被白银市中级人民法院驳回后，何伟没有提起诉讼，裁定仍然有效。2020年9月，被举报人何伟越过新雅公司擅自将几十套房屋(现已撑握50余套)钥匙交给了购房人，经查证交出的这五十余套房屋中将我已备案的房屋交出了7套，具体情况：1-2-2702号房屋钥匙交付给了王某某(已在装修)；1-2-2802号房屋钥匙交付给了李某；1-1-2801号房屋钥匙交付给了陈某(已在装修)；2-1-2701号房屋钥匙交给了冯某某；2-2-2001号房屋钥匙交给了田某某；2-2-2602号房屋钥匙交给了王某某(已在装修)；2-2-2401号房屋钥匙交给了康某(已在装修)。综上事实，我们对此事提出质疑。1、何伟明显构成拒不执行法院判决、裁定罪。本人与新雅公司施工合同纠纷一案，在执行过程中，白银市中级人民法院于2019年4月16日作出了(2019)甘04执9号的执行定，发出了对查封158套房屋的评估拍卖公告。公告要求与查封财产有关的担保物权人、优先权人或其他权利人、利害关系人向白银市中级人民法院提出执行异议，中宏建甘肃公司何伟提出了执行异议。白银市中级人民法院于2019年9月5日作出了(2019)甘04执异26号执行裁定书(附件二)，驳回了中宏建公司及何伟的异议请求，何伟在法定时间内(甚至至今)没有向人民法院提起诉讼。综上何伟现在处置该案件涉案财产，已经涉嫌拒不执行法院判决、裁定罪。2、何伟将已登记所有权人明确的房子出售与他人，极大可能牵连性构成合同诈骗罪。何伟明知新雅公司已将涉案房屋中的90套房产顶抵给邓绍江，冲减邓绍江在涉案项目中的工程欠款，邓绍江也已经将法院裁定的90套房产备案登记在自己名下，何伟明知这些房屋不是他的财产，但是他虚构事实，欺骗买受人，形成房屋买卖合同，收取购房人钱财，并且数额特别巨大。何伟虚构财产事实，涉嫌合同诈骗罪。3、邓绍江还认为，在会宁城市金街项目后续的施工过程中，何伟的所作所为带有浓厚的黑恶性质。第一、作为施工人的何伟，不认真做好施工的本职工作，受利益趋势强占开发公司售楼部，至使销售工作无法正常实施，导致开发公司对购房人、其他债权人的承诺不能兑现，造成项目几乎烂尾；第二、何伟三年来的施工工程量约6000万元(最终以第三方审计为准)，现在强迫或利诱开发公司给予12000万元的工程款结算，并以此为要挟，不完成剩余工程，使工程无法竣工验收，导致众多群众上访，破坏一方平安；第三、购房人或其他房屋权利人去楼盘房，何伟唆使他人以打、骂的方式阻止，严重侵犯他人的合法权利；第四、在房屋没有经过竣工验收的情况下，何伟私自将房屋钥匙交给不明真相的购房者，并怂恿他们装修、改变房屋结构，在购房者和部分会宁百姓的心目中，形成“我何伟说了算”的错误认知，在会宁这片红色的净土上，把法律当儿戏，把“强抢”、“强占”作为办事的标准；第五、据会宁房管局的统计及大成律师事务所的调套，何伟已收取现金(含正常合法抵帐)已逾7000万元，但他还继续指示工人以要民工工资的形式，破坏安定团结的大局，为会宁政府形象造成众多负面影响。各位领导，本人已于2020年9月向会宁县相关部门实名递交了反映材料，但何伟的行为没有收敛，私下售房没有得到控制，房屋装修依然在继续进行。2021年1月，何伟在开发公司不同意确认(因为法院已经执行)的情况下，强行将白银中院执行给我房屋中的33套(其中5套与前面重复)强行上墙公告，到现在仍然有人用最原始的办法运输材料、装修。本人为了维护自己的合法权益、保护在会宁城市金街项目原施工工人得到工资、材料供应商能收回欠款的合法权益，也是为会宁县上当受骗的百姓申张正义，本人再次实名举报何伟的违法犯罪行为，希望各级主管部门能够介入，将对这种无视法律，肆意侵害法治权威的无良建筑商绳之以法，恳请让公安机关能对我举报的问题侦查处理!并且尽快解决民生问题，恳求各级公检法机关介入，给社会公众一个说法，还受害者一个尊严。#白银#,,,,"甘肃,会宁最大的城市综合体烂尾,白银",633,174,320,2021-06-16 19:41,Android,"['http://ww1.sinaimg.cn/large/006q5MTwly1grkcd2myfxj327u188x6s.jpg', 'http://ww4.sinaimg.cn/large/006q5MTwly1grkcd3iedpj60lm0cctlx02.jpg', 'http://ww1.sinaimg.cn/large/006q5MTwly1grkccxy2k9j327u18kb2e.jpg', 'http://ww3.sinaimg.cn/large/006q5MTwly1grkcd40ycjj30lu0c8wqj.jpg', 'http://ww1.sinaimg.cn/large/006q5MTwly1grkcd7qr3hj30u0140acy.jpg', 'http://ww4.sinaimg.cn/large/006q5MTwly1grkcd54ezij30m40uwe7q.jpg', 'http://ww3.sinaimg.cn/large/006q5MTwly1grkcd730zfj30n40v6gqi.jpg', 'http://ww4.sinaimg.cn/large/006q5MTwly1grkcd5yts4j30m60ueakf.jpg', 'http://ww1.sinaimg.cn/large/006q5MTwly1grkcd5krf5j30l60swq7x.jpg']",,
4649520513680273,KkMfNfrpf,5624274688,全球热门事件排行榜,从越野赛认识了白银，这地方真该好好整顿了。吃干饭的太多了...,,,,,0,0,0,2021-06-18 19:25,OPPO K3 硬核少年,,,4648799757144083
4649445839339815,KkKjlDbIb,7373111326,正观新闻,【#一周新闻速递# |神舟十二号载人飞船发射圆满成功】盘点一周热点新闻：天问一号探测器着陆火星首批影像图公布；甘肃白银越野赛调查结果公布，27人被追责；湖北十堰燃气爆炸事故已致25人死亡；江西专升本作弊事件，多名大学教师被刑拘；“猪坚强”去世；水下洛神舞《祈》绝美出圈；神舟十二号载人飞船发射圆满成功……这一周，担忧与感动并行，未来与希望常在，戳视频，让我们一起回顾。#中国航天成绩单# @正观视频L正观视频的微博视频,,,正观视频,"一周新闻速递,中国航天成绩单",0,0,0,2021-06-18 14:28,微博视频号,,"http://f.video.weibocdn.com/GEL474gJlx07Ny6gRCTm01041200xSs20E010.mp4?label=mp4_ld&template=640x360.25.0&trans_finger=6006a648d0db83b7d9951b3cee381a9c&ori=0&ps=1BVp4ysnknHVZu&Expires=1624613026&ssig=PAYHo2682n&KID=unistore,video",
4649443191689724,KkKf575zC,2687299131,跑步指南,受宁波电台主持人小轩邀请，老王和江南100赛事总监农民CPA一起聊聊越野跑、马拉松以及赛事安全。朋友们可以花点时间来听听看，欢迎在评论区一起讨论哦~L跑步指南的微博视频,,,,,8,0,14,2021-06-18 14:18,微博视频号,,"http://f.video.weibocdn.com/3nmER8LYlx07Nyex5vQY01041207p7RM0E030.mp4?label=mp4_ld&template=640x360.25.0&trans_finger=40a32e8439c5409a63ccf853562a60ef&ori=0&ps=1BVp4ysnknHVZu&Expires=1624613026&ssig=1%2FOxZEhn0j&KID=unistore,video",
4649412892822990,KkJsdbQo6,7299136456,正观视频,【#一周新闻速递#|神舟十二号载人飞船发射圆满成功】盘点一周热点新闻：天问一号探测器着陆火星首批影像图公布；甘肃白银越野赛调查结果公布，27人被追责；湖北十堰燃气爆炸事故已致25人死亡；江西专升本作弊事件，多名大学教师被刑拘；“猪坚强”去世；水下洛神舞《祈》绝美出圈；神舟十二号载人飞船发射圆满成功……这一周，担忧与感动并行，未来与希望常在，戳视频，让我们一起回顾。#中国航天成绩单#L正观视频的微博视频,,,,"一周新闻速递,中国航天成绩单",1,0,3,2021-06-18 12:17,微博视频号,,"http://f.video.weibocdn.com/GEL474gJlx07Ny6gRCTm01041200xSs20E010.mp4?label=mp4_ld&template=640x360.25.0&trans_finger=6006a648d0db83b7d9951b3cee381a9c&ori=0&ps=1BVp4ysnknHVZu&Expires=1624613026&ssig=PAYHo2682n&KID=unistore,video",
4646620325480104,KjyO4mZCM,6863202017,吃鱼小书屋,#转发赠书#今天给大家推荐一本好书《梅里雪山》1991年1月，云南梅里雪山发生了震惊世界的登山事故，中日友好联合登山队十七名队员遭遇雪崩，全部遇难。这是人类登山史上的第二大山难。在一百多年的现代登山史上，梅里雪山也成为人类唯一无法登顶的山峰。事故发生后，中日双方进行了多方搜索。搜索队伍中一位名叫小林尚礼的日本登山队员，更在之后的二十多年里，为了让山难队友们的亡灵回到亲人身边，一再深入梅里雪山搜寻，并已成功找到了十六具遗体。《梅里雪山：寻找十七位友人》，就是小林尚礼多年艰辛搜寻的记录。本书以纪录片式平实而细腻的文字，壮美与温柔兼具的影像，记录了令人心碎的恐怖山难，艰辛的搜寻，梅里雪山的神秘风貌，山脚下人们的朴素生活，三次转山之旅和当地生活的变化。在跨越多年的搜寻中，他从傲慢的外来登山者，逐渐转变成为神山的守护者，一位自然主题的摄影师和作家。而雪山之残酷与神圣，自然对其心灵和生活的荡涤，也同样荡涤每一个热爱雪山的灵魂。随手转发，随机抽取3位粉丝赠书,,,,转发赠书,888,129,120,2021-06-10 19:21,iPhone XS Max,"['http://ww2.sinaimg.cn/large/007utimJgy1grde2umt4sj30r90r9td0.jpg', 'http://ww2.sinaimg.cn/large/007utimJgy1grde2vwd8tj30r90r944v.jpg', 'http://ww1.sinaimg.cn/large/007utimJgy1grde2wu9w5j30r90r9tcz.jpg', 'http://ww1.sinaimg.cn/large/007utimJgy1grde2xpoz2j30r90r9dkf.jpg', 'http://ww4.sinaimg.cn/large/007utimJgy1grde2yt6n7j30r90r9q9f.jpg', 'http://ww2.sinaimg.cn/large/007utimJgy1grde2zke3fj30r90r978m.jpg', 'http://ww4.sinaimg.cn/large/007utimJgy1grde308au8j30r90r9q60.jpg', 'http://ww4.sinaimg.cn/large/007utimJgy1grde311ptxj30r90r9q7n.jpg', 'http://ww4.sinaimg.cn/large/007utimJgy1grde31ua9vj30r90r941i.jpg']",,
