id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,转发数,评论数,点赞数,发布时间,发布工具,retweet_id
4649167684638377	,KkD4IjsEx,6858239618	,说好的5872,［#甘肃越野赛事件27人被追责#遗漏了什么？3］甘肃白银山地马拉松越野赛，处分了16家单位27名相关责任人员，分别处以警告、记过、记大过、免职。除景区二人涉嫌刑事责任外，其余均不涉及刑责，也无一人被开除公职。 涉及多人的政务处分，究竟是怎样的后果呢？根据《行政机关公务员处分条例》，处分期间不得晋升工资，撤职的要降级。除被撤职的，其余均不影响既得利益，影响的是仅是晋升。那么影响多久呢？6-24个月（图2-3）。 笔者认为甘肃白银山地马拉松越野赛调查结论并未阐明下列问题：25人均不涉嫌犯罪的理由是什么？比如因救援迟缓，到底产生了多大的损害结果？报告是否及时？是否涉嫌刑法139条的规定？这些都需要细节支撑。 GPS轨迹就是重要的细节支撑，但甘肃白银山地马拉松越野赛调查报告只字未提GPS。由于GPS是移动和卫星双模块，信号远好于移动电话。多方证据表明GPS后台完全可以拿到轨迹（图4-6）。那么GPS在调查中的意义有哪些？ 1停赛：判定停赛延迟的过错程度。停赛延迟已无须证明，根据后台监控发现轨迹混乱、折返、放缓和停顿大量发生，早该停赛。是没有监控？还是没下决心？还是其实已向承办方和主办方反映未获批准？都需要调查明白。 如果是景泰和白银更早知情，那么延迟部署和报告的责任就更加严重。他们知情和赶赴现场的时间一直是个问题。一个明显不合逻辑的例子是，调查说景泰县负责人是下午下午4点半就赶到了。那么就是比景泰县消防到达的速度还快，景泰消防在主要负责人出发半个多小时竟然不知道出事了，这个逻辑一直没有理顺（图7-8）。所以到底是哪里出了问题？ 2诚实：白银市5.23通报说，14点后研判GPS做出停赛决定（图9）。谁研判？谁做的决定？调查结论根本不支持5.23的通报。那么围绕研判GPS谎言是如何产生的？谁该负责？ 3搜救：三联的报道，是在晚上9点才调出GPS轨迹的（4图）。但晚上7点钟景泰消防和白银消防是先后赶到的事发地段，作为先期外援搜救。难道他们没有拿到GPS轨迹？在那个时段，景泰和白银的主要负责人可是已经亲临现场，这是怎么指挥的？是否涉嫌渎职犯罪？GPS用于搜救的时间应该给出答案。 4刑责：GPS轨迹，比如小范围缓慢的移动，这是选手活着的证明。这个时间点是界定刑事责任的依据。因报告不及时，救援迟缓造成的新增伤亡都是量刑的依据。 5民事：在什么地点，什么时间不再移动，是确定遇难的重要依据，对遇难者家属来说，能有个明明白白的交代。其次也是主张因报告不及时，救援不力造成侵权损害赔偿的依据。,,,,266,185,1506,2021-06-17 20:03,Android,	
4649226987899410	,KkECmx8ZQ,6738255887	,这会都说套路,//@随缘3280945175:有人问为什么安全事故频发？？？！甘肃白银马拉松就是例子，21条人命，市县领导无一负刑责。领导们还有什么好担心的？！！！……#甘肃越野赛事件27人被追责#,,,随缘3280945175,0,1,1,2021-06-17 23:59,三星android智能手机,4649167684638377	
4649192645726044	,KkDIYo1By,6604858861	,戚悲楚,//@随缘3280945175://@执着贝安2:甘肃白银山地马拉松越野赛，处分了16家单位27名相关责任人员，分别处以警告、记过、记大过、免职。除景区二人涉嫌刑事责任外，其余均不涉及刑责，也无一人被开除公职。#甘肃越野赛事件27人被追责#,,,"随缘3280945175,执着贝安2",0,0,0,2021-06-17 21:42,5G自拍手机vivo S6,4649167684638377	
4649192314113825	,KkDIrhgc1,6604858861	,戚悲楚,//@超爱喵喵哦://@万里青山碧水行:#甘肃越野赛事件27人被追责#//@正义剑斩妖除魔:调查组你们良心何在，对GPS只字不提这是为什么?就这样草率刑事，官还是官你们对得起21个死者家属吗？#甘肃白银马拉松事故调查结果公布#,,,"超爱喵喵哦,万里青山碧水行,正义剑斩妖除魔",0,0,2,2021-06-17 21:41,5G自拍手机vivo S6,4649167684638377	
4649191986432538	,KkDHUqZoC,6604858861	,戚悲楚,//@随缘3280945175:有人问为什么安全事故频发？？？！甘肃白银马拉松就是例子，21条人命，市县领导无一负刑责。领导们还有什么好担心的？！！！……#甘肃越野赛事件27人被追责#,,,随缘3280945175,0,0,0,2021-06-17 21:40,5G自拍手机vivo S6,4649167684638377	
4649191801885171	,KkDHC7UpZ,7069429379	,翠绿之冰心,#甘肃越野赛事件27人被追责#//@猫奴爱狸花:有人问为什么安全事故频发？甘肃白银马拉松就是例子，21条人命，市县领导无一负刑责。领导们还有什么好担心的？#甘肃马拉松事故是天灾还是人祸##甘肃山地马拉松事故21人遇难#,,,猫奴爱狸花,0,0,2,2021-06-17 21:39,Redmi 10X 4G版,4649167684638377	
4649191534497654	,KkDHbiS2O,7069429379	,翠绿之冰心,//@随缘3280945175:有人问为什么安全事故频发？？？！甘肃白银马拉松就是例子，21条人命，市县领导无一负刑责。领导们还有什么好担心的？！！！……#甘肃越野赛事件27人被追责#,,,随缘3280945175,0,0,0,2021-06-17 21:38,Redmi 10X 4G版,4649167684638377	
4649189999379540	,KkDEHDm2U,7062671356	,超爱喵喵哦,//@万里青山碧水行:#甘肃越野赛事件27人被追责#//@正义剑斩妖除魔:调查组你们良心何在，对GPS只字不提这是为什么?就这样草率刑事，官还是官你们对得起21个死者家属吗？#甘肃白银马拉松事故调查结果公布#,,,"万里青山碧水行,正义剑斩妖除魔",0,0,3,2021-06-17 21:32,Android,4649167684638377	
4649189545869569	,KkDDYoCWt,5750238074	,万里青山碧水行,#甘肃越野赛事件27人被追责#//@正义剑斩妖除魔:调查组你们良心何在，对GPS只字不提这是为什么?就这样草率刑事，官还是官你们对得起21个死者家属吗？#甘肃白银马拉松事故调查结果公布#,,,正义剑斩妖除魔,0,0,1,2021-06-17 21:30,Redmi 10X 4G版,4649167684638377	
4649188732963496	,KkDCFcqWk,3241062702	,傲梅醉似人,//@正义剑斩妖除魔:调查组你们良心何在，对GPS只字不提这是为什么?就这样草率刑事，官还是官你们对得起21个死者家属吗？#甘肃白银马拉松事故调查结果公布##甘肃越野赛事件27人被追责#,,,正义剑斩妖除魔,0,0,2,2021-06-17 21:27,Redmi 10X 4G版,4649167684638377	
4649183908730623	,KkDuSADev,5767114921	,无声的民族,//@随缘3280945175:有人问为什么安全事故频发？？？！甘肃白银马拉松就是例子，21条人命，市县领导无一负刑责。领导们还有什么好担心的？！！！……#甘肃越野赛事件27人被追责#,,,随缘3280945175,0,0,0,2021-06-17 21:08,麦芒6 边界，我来超越,4649167684638377	
4649179475351933	,KkDnJmshv,6301724921	,还是用个名字吧,//@执着贝安2:甘肃白银山地马拉松越野赛，处分了16家单位27名相关责任人员，分别处以警告、记过、记大过、免职。除景区二人涉嫌刑事责任外，其余均不涉及刑责，也无一人被开除公职。,,,执着贝安2,0,0,0,2021-06-17 20:50,iPhone客户端,4649167684638377	
4649177986108896	,KkDlkpDcA,3280945175	,随缘3280945175,//@执着贝安2:甘肃白银山地马拉松越野赛，处分了16家单位27名相关责任人员，分别处以警告、记过、记大过、免职。除景区二人涉嫌刑事责任外，其余均不涉及刑责，也无一人被开除公职。#甘肃越野赛事件27人被追责#,,,执着贝安2,0,0,2,2021-06-17 20:44,Redmi 10X 4G版,4649167684638377	
4649177906152745	,KkDlcpOBP,6008683290	,执着贝安2,甘肃白银山地马拉松越野赛，处分了16家单位27名相关责任人员，分别处以警告、记过、记大过、免职。除景区二人涉嫌刑事责任外，其余均不涉及刑责，也无一人被开除公职。,,,,0,0,0,2021-06-17 20:44,iPhone客户端,4649167684638377	
4649177529976175	,KkDkAFRg3,3280945175	,随缘3280945175,//@窗外的夏天很耀眼:2诚实：白银市5.23通报说，14点后研判GPS做出停赛决定（图9）。谁研判？谁做的决定？调查结论根本不支持5.23的通报。那么围绕研判GPS谎言是如何产生的？谁该负责？#甘肃越野赛事件27人被追责#,,,窗外的夏天很耀眼,0,0,1,2021-06-17 20:42,Redmi 10X 4G版,4649167684638377	
4649177240570723	,KkDk82otd,3280945175	,随缘3280945175,有人问为什么安全事故频发？？？！甘肃白银马拉松就是例子，21条人命，市县领导无一负刑责。领导们还有什么好担心的？！！！……#甘肃越野赛事件27人被追责#,,,,0,0,0,2021-06-17 20:41,Redmi 10X 4G版,4649167684638377	
