id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,转发数,评论数,点赞数,发布时间,发布工具,retweet_id
4644153307174562	,KiwD0u6qK,5868033086	,魏不过三冬,刚刚回宿舍的路上，外面温度骤降，狂风大作，并且飘着细雨，特别冷。我从图书馆走回宿舍，又在外面逗留了一会，回到宿舍好一会儿了还是感觉膝盖很痛（可能我本来也有点毛病），然后我就想到白银马拉松越野赛那些因为失温死掉的参赛者，觉得很难过，又很可怕。,,,,0,0,0,2021-06-03 23:58,Android,	
4644117793734954	,KivHJfFDc,5785577551	,商业人物,白银越野赛逝者张凤莲的一生。,,,,0,0,0,2021-06-03 21:37,荣耀20i,	
4644116166085143	,KivF6px1t,1718950972	,四川电视台新闻现场,【#体育总局暂停山地越野等赛事#】5月22日，甘肃省白银市黄河石林百公里越野赛因局部天气突变发生公共安全事件，造成重大人员伤亡，教训十分沉痛。为切实保障人民群众身体健康和生命安全，从即日起，暂停山地越野、戈壁穿越、翼装飞行、超长距离跑等管理责任不清、规则不完善、安全防护标准不明确的新兴高危体育赛事活动。体育总局将对体育赛事活动进行全面梳理，加快完善管理制度，健全标准规范，全面加强对体育赛事活动安全的管理保障。L四川电视台新闻现场的微博视频,,,,0,2,3,2021-06-03 21:30,微博视频号,	
4644100673112523	,Kivg7d3HZ,7155789096	,湖北武极冬中心,#体育总局暂停山地越野赛事#国家体育总局今天发布公告：5月22日，甘肃省白银市黄河石林百公里越野赛因局部天气突变发生公共安全事件，造成重大人员伤亡，教训十分沉痛。为切实保障人民群众身体健康和生命安全，从即日起，暂停山地越野、戈壁穿越、翼装飞行、超长距离跑等管理责任不清、规则不完善、安全防护标准不明确的新兴高危体育赛事活动。体育总局将对体育赛事活动进行全面梳理，加快完善管理制度，健全标准规范，全面加强对体育赛事活动安全的管理保障。,,,,0,0,0,2021-06-03 20:29,360安全浏览器,	
4644095924372823	,Kiv8silzp,3961800740	,襄阳文化旅游,#体育总局暂停山地越野等赛事#【国家体育总局：暂停山地越野等新兴高危体育赛事活动】6月2日，国家体育总局官网发布《关于暂停相关体育活动的通知》，全文如下：5月22日，甘肃省白银市黄河石林百公里越野赛因局部天气突变发生公共安全事件，造成重大人员伤亡，教训十分沉痛。为切实保障人民群众身体健康和生命安全，从即日起，暂停山地越野、戈壁穿越、翼装飞行、超长距离跑等管理责任不清、规则不完善、安全防护标准不明确的新兴高危体育赛事活动。体育总局将对体育赛事活动进行全面梳理，加快完善管理制度，健全标准规范，全面加强对体育赛事活动安全的管理保障。各地要严格落实非必要不办赛要求，坚持底线思维，增强风险意识，强化属地管理责任，采取切实有效措施防范和化解风险。要围绕组织运营、服务保障、安全管理、应急救援、疫情防控、地质条件、气象因素等内容，对所有赛事活动开展全面风险排查，存在安全隐患的一律暂停，严防体育领域安全事件发生，为迎接建党100周年营造良好的环境和氛围。（编辑：宋雨秋）#山地越野等赛事被暂停#,,,,0,0,1,2021-06-03 20:10,HUAWEI Mate 30,	
4644085527216341	,KiuRGuhiB,1105243673	,麦可西穆师,《高危！最新通知：全部暂停》5月22日，甘肃省白银市黄河石林百公里越野赛因局部天气突变发生公共安全事件，造成重大人员伤亡，教训十分沉痛。O网页链接,,,,0,1,0,2021-06-03 19:28,百度极速版,	
4644077573772920	,KiuERfPvy,6285362680	,潍坊市人民检察院,【国家体育总局：#山地越野等赛事被暂停#】国家体育总局：5月22日，甘肃白银市黄河石林百公里越野赛因局部天气突变发生公共安全事件，造成重大人员伤亡。为切实保障人民群众身体健康和生命安全，从即日起，暂停山地越野、戈壁穿越、翼装飞行、超长距离跑等管理责任不清、规则不完善、安全防护标准不明确的新兴高危体育赛事活动。（来源：央视新闻）,,,,0,1,0,2021-06-03 18:57,微博 weibo.com,	
4644064144131906	,KiujchkTE,2336543864	,五棵松杨子,甘肃白银百公里越野赛发生重大伤亡后，体育总局暂停一切相关体育活动，全面梳理排查隐患,,,,0,0,0,2021-06-03 18:03,OnePlus 8 Pro,	
4644062488166791	,Kiugwygyr,7412005096	,执惠文旅,【国家体育总局：暂停山地越野等新兴高危体育赛事活动】6月2日，体育总局办公厅发布关于暂停相关体育活动的通知。5月22日，甘肃省白银市黄河石林百公里越野赛因局部天气突变发生公共安全事件，造成重大人员伤亡，教训十分沉痛。为切实保障人民群众身体健康和生命安全，从即日起，暂停山地越野、戈壁穿越、翼装飞行、超长距离跑等管理责任不清、规则不完善、安全防护标准不明确的新兴高危体育赛事活动。O网页链接,,,,0,0,0,2021-06-03 17:57,微博 weibo.com,	
4644059170213068	,Kiubb0TqA,6415797919	,山西公共频道,【#体育总局暂停山地越野等高危体育赛事#】6月2日，国家体育总局发布消息，5月22日，甘肃省白银市黄河石林百公里越野赛因局部天气突变发生公共安全事件，造成重大人员伤亡，教训十分沉痛。为切实保障人民群众身体健康和生命安全，从即日起，暂停山地越野、戈壁穿越、翼装飞行、超长距离跑等管理责任不清、规则不完善、安全防护标准不明确的新兴高危体育赛事活动。,,,,0,0,0,2021-06-03 17:44,小米11,	
4644058129500037	,Kiu9uDRop,2726922721	,山西发布,【#体育总局暂停山地越野等高危体育赛事#】6月2日，国家体育总局发布消息，5月22日，甘肃省白银市黄河石林百公里越野赛因局部天气突变发生公共安全事件，造成重大人员伤亡，教训十分沉痛。为切实保障人民群众身体健康和生命安全，从即日起，暂停山地越野、戈壁穿越、翼装飞行、超长距离跑等管理责任不清、规则不完善、安全防护标准不明确的新兴高危体育赛事活动。,,,,0,0,1,2021-06-03 17:40,微博 weibo.com,	
4644055633892148	,Kiu5tgkwA,7353740317	,向阳1a,#甘肃山地马拉松16名参赛选手遇难#【#甘肃景泰一马拉松百公里越野赛已发现16人遇难#】记者从黄河石林山地马拉松百公里越野赛失联救援指挥部获悉，22日上午在甘肃省白银市景泰县黄河石林景区举行的黄河石林山地马拉松百公里越野赛遭遇极端天气，截至O23日3时，已发现16人遇难，还有5人失联正在救援中。　　据指挥部介绍，当天中午1点左右，百公里越野赛高海拔赛段20公里至31公里处，受突变极端天气影响，局地出现冰雹、冻雨、大风等灾害性天气，气温骤降，参赛人员出现身体不适、失温等情况，部分参赛人员失联，比赛停止。当地马上组织多方力量搜救失联人员。　　接到当地报告后，甘肃省委、省政府第一时间召开专题会议，立即启动应急预案，成立失联救援指挥部并组织救援力量700余人投入搜救。由于赛段内地形地貌复杂，夜间气温再度下降，搜救难度较大。截至O23日3时，151名参赛人员已经确认安全，其中轻伤5人在医院救治，情况稳定。16名参赛人员找到时已失去生命体征，另有5人仍在进一步搜救中。　　据介绍，该赛事由白银市委、市政府主办，景泰县承办，具体赛事运营由甘肃晟景体育文化发展有限公司负责，共计172人参与百公里越野赛。（记者郭刚、李杰、范培珅）辽宁省沈阳市铁西区贵和小学在2020年12月19号高级职称评定中，沈阳市文件要求公开公平公正！我要求公开参评老师的所有参评材料却遭到张校长的拒绝。拒绝的理由是：1.孙老师不同意公开。2.只公布分数，说是半公开。在我向上级投诉一周之后才让公开。参评的孙老师有一证书是辽宁省政府办公厅发的证书，当我问到取得证书的原因时，她拿出一份沈阳市委组织部的情况说明，说明里没有关于她的辽宁省政府办公厅的证书的内容。我有疑惑，问校长原因时，张校长说都是真的，孙老师就评上了高级。孙老师的辽宁省政府办公厅的证书与沈阳市委组织部的说明材料不匹配。投诉五个多月了，没有人管。O政策法规不容践踏,,,,0,0,0,2021-06-03 17:30,华为手机,	
4644054359606473	,Kiu3pEj57,1782857583	,小天099,《高危！最新通知：全部暂停》5月22日，甘肃省白银市黄河石林百公里越野赛因局部天气突变发生公共安全事件，造成重大人员伤亡，教训十分沉痛。O网页链接,,,,0,0,0,2021-06-03 17:25,百度App,	
