node1,node2,time,父节点内容,子节点内容
5342220662	,3349909324	,2021-05-22 19:24,【应急管理部持续部署指导云南青海地震抗震救灾工作会同相关部门紧急拨付中央救灾资金和物资】5月21日21时48分、22日2时4分，云南大理州漾濞县、青海果洛州玛多县先后发生6.4级和7.4级地震。地震发生后，应急管理部立即启动云南漾濞地震灾害三级应急响应、青海玛多地震灾害二级应急响应，国务院抗震救灾指挥部副指挥长、应急管理部部长黄明第一时间赶到部指挥中心，持续调度指导云南、青海地震抗震救灾，部署排查搜救、震情监测、次生灾害防范和受灾群众救助安置等工作。应急管理部、中国地震局派出两个工作组分赴云南、青海指导协助地方开展抢险救援救灾工作。O应急管理部持续部署指导云南青海地震抗震救灾工作,应急管理部持续部署指导云南青海地震抗震救灾工作会同相关部门紧急拨付中央救灾资金和物资
5342220662	,2747156792	,2021-05-22 21:18,【应急管理部持续部署指导云南青海地震抗震救灾工作会同相关部门紧急拨付中央救灾资金和物资】5月21日21时48分、22日2时4分，云南大理州漾濞县、青海果洛州玛多县先后发生6.4级和7.4级地震。地震发生后，应急管理部立即启动云南漾濞地震灾害三级应急响应、青海玛多地震灾害二级应急响应，国务院抗震救灾指挥部副指挥长、应急管理部部长黄明第一时间赶到部指挥中心，持续调度指导云南、青海地震抗震救灾，部署排查搜救、震情监测、次生灾害防范和受灾群众救助安置等工作。应急管理部、中国地震局派出两个工作组分赴云南、青海指导协助地方开展抢险救援救灾工作。O应急管理部持续部署指导云南青海地震抗震救灾工作,//@云南消防:应急管理部持续部署指导云南青海地震抗震救灾工作会同相关部门紧急拨付中央救灾资金和物资
5342220662	,2519943690	,2021-05-22 18:29,【应急管理部持续部署指导云南青海地震抗震救灾工作会同相关部门紧急拨付中央救灾资金和物资】5月21日21时48分、22日2时4分，云南大理州漾濞县、青海果洛州玛多县先后发生6.4级和7.4级地震。地震发生后，应急管理部立即启动云南漾濞地震灾害三级应急响应、青海玛多地震灾害二级应急响应，国务院抗震救灾指挥部副指挥长、应急管理部部长黄明第一时间赶到部指挥中心，持续调度指导云南、青海地震抗震救灾，部署排查搜救、震情监测、次生灾害防范和受灾群众救助安置等工作。应急管理部、中国地震局派出两个工作组分赴云南、青海指导协助地方开展抢险救援救灾工作。O应急管理部持续部署指导云南青海地震抗震救灾工作,应急管理部持续部署指导云南青海地震抗震救灾工作会同相关部门紧急拨付中央救灾资金和物资//@河南消防:应急管理部持续部署指导云南青海地震抗震救灾工作会同相关部门紧急拨付中央救灾资金和物资
5342220662	,2452004593	,2021-05-22 18:22,【应急管理部持续部署指导云南青海地震抗震救灾工作会同相关部门紧急拨付中央救灾资金和物资】5月21日21时48分、22日2时4分，云南大理州漾濞县、青海果洛州玛多县先后发生6.4级和7.4级地震。地震发生后，应急管理部立即启动云南漾濞地震灾害三级应急响应、青海玛多地震灾害二级应急响应，国务院抗震救灾指挥部副指挥长、应急管理部部长黄明第一时间赶到部指挥中心，持续调度指导云南、青海地震抗震救灾，部署排查搜救、震情监测、次生灾害防范和受灾群众救助安置等工作。应急管理部、中国地震局派出两个工作组分赴云南、青海指导协助地方开展抢险救援救灾工作。O应急管理部持续部署指导云南青海地震抗震救灾工作,//@河南消防:应急管理部持续部署指导云南青海地震抗震救灾工作会同相关部门紧急拨付中央救灾资金和物资
5342220662	,5454702068	,2021-05-22 19:04,【应急管理部持续部署指导云南青海地震抗震救灾工作会同相关部门紧急拨付中央救灾资金和物资】5月21日21时48分、22日2时4分，云南大理州漾濞县、青海果洛州玛多县先后发生6.4级和7.4级地震。地震发生后，应急管理部立即启动云南漾濞地震灾害三级应急响应、青海玛多地震灾害二级应急响应，国务院抗震救灾指挥部副指挥长、应急管理部部长黄明第一时间赶到部指挥中心，持续调度指导云南、青海地震抗震救灾，部署排查搜救、震情监测、次生灾害防范和受灾群众救助安置等工作。应急管理部、中国地震局派出两个工作组分赴云南、青海指导协助地方开展抢险救援救灾工作。O应急管理部持续部署指导云南青海地震抗震救灾工作,//@云南消防:应急管理部持续部署指导云南青海地震抗震救灾工作会同相关部门紧急拨付中央救灾资金和物资
5342220662	,3927468840	,2021-05-22 19:09,【应急管理部持续部署指导云南青海地震抗震救灾工作会同相关部门紧急拨付中央救灾资金和物资】5月21日21时48分、22日2时4分，云南大理州漾濞县、青海果洛州玛多县先后发生6.4级和7.4级地震。地震发生后，应急管理部立即启动云南漾濞地震灾害三级应急响应、青海玛多地震灾害二级应急响应，国务院抗震救灾指挥部副指挥长、应急管理部部长黄明第一时间赶到部指挥中心，持续调度指导云南、青海地震抗震救灾，部署排查搜救、震情监测、次生灾害防范和受灾群众救助安置等工作。应急管理部、中国地震局派出两个工作组分赴云南、青海指导协助地方开展抢险救援救灾工作。O应急管理部持续部署指导云南青海地震抗震救灾工作,//@云南消防:应急管理部持续部署指导云南青海地震抗震救灾工作会同相关部门紧急拨付中央救灾资金和物资
5342220662	,5449970730	,2021-05-23 07:51,【应急管理部持续部署指导云南青海地震抗震救灾工作会同相关部门紧急拨付中央救灾资金和物资】5月21日21时48分、22日2时4分，云南大理州漾濞县、青海果洛州玛多县先后发生6.4级和7.4级地震。地震发生后，应急管理部立即启动云南漾濞地震灾害三级应急响应、青海玛多地震灾害二级应急响应，国务院抗震救灾指挥部副指挥长、应急管理部部长黄明第一时间赶到部指挥中心，持续调度指导云南、青海地震抗震救灾，部署排查搜救、震情监测、次生灾害防范和受灾群众救助安置等工作。应急管理部、中国地震局派出两个工作组分赴云南、青海指导协助地方开展抢险救援救灾工作。O应急管理部持续部署指导云南青海地震抗震救灾工作,//@云南消防:应急管理部持续部署指导云南青海地震抗震救灾工作会同相关部门紧急拨付中央救灾资金和物资
5342220662	,7079703736	,2021-05-23 20:56,【国务院抗震救灾指挥部办公室召开视频调度会进一步研究部署云南青海地震抗震救灾工作要求千方百计保障受灾群众基本生活】5月23日上午，国务院抗震救灾指挥部办公室召开视频调度会，进一步研究部署云南、青海地震抗震救灾工作。国务院抗震救灾指挥部副指挥长、应急管理部部长黄明主持会议，强调要坚持人民至上、生命至上，统筹抗震救灾和新冠疫情防控，千方百计保障受灾群众基本生活，确保中央决策部署不折不扣落地落实见效，切实把确保人民生命安全放在第一位落到实处。O国务院抗震救灾指挥部办公室进一步研究部署云南青海地震抗震救灾工作,#关注云南青海地震#【国务院抗震救灾指挥部办公室召开视频调度会进一步研究部署云南青海地震抗震救灾工作要求千方百计保障受灾群众基本生活】#人民守夜人#
5342220662	,2304878677	,2021-05-29 08:34,【应急管理部发布青海玛多7.4级地震烈度图】5月22日2时4分，青海果洛州玛多县发生7.4级地震。地震发生后，应急管理部、中国地震局地震现场工作队依照《地震现场工作：调查规范》（GB/T18208.3-2011）、《中国地震烈度表》(GB/T17742-2020)，对灾区55个调查点展开了实地震害调查，并参考震区断裂构造、余震分布、震源机制、仪器烈度分布等科技支撑成果，结合强震动观测记录，确定了此次地震的烈度分布，完成了《青海玛多7.4级地震烈度图》编制工作，并征求了青海省人民政府和有关州政府、住房和城乡建设部意见，现正式向社会公布。O应急管理部发布青海玛多7.4级地震烈度图,青海玛多地震最高烈度为Ⅹ度(10度)，宏观震中位于玛多县玛查理镇，微观震中位于玛多县黄河乡。Ⅵ度(6度)区及以上面积约53704平方公里，烈度圈长轴呈北西西走向，长轴约381公里，短轴约165公里，共涉及青海省3个市州7个县32个乡镇，四川省1个市州1个县4个乡。#青海玛多7.4级地震#
5342220662	,3084769675	,2021-06-05 22:17,【预告丨6月6日中午12:00央视12频道《应急时刻》：云南漾濞、青海果洛地震救援纪实】5月21日21时48分、22日2时4分，云南大理州漾濞县、青海果洛州玛多县先后发生6.4级和7.4级地震。灾情就是命令、时间就是生命。应急管理部立即启动地震灾害三级、二级应急响应，应急管理部、中国地震局派出两个工作组分赴云南、青海指导协助地方开展抢险救援救灾工作。余震不断、山石滚落，救援人员不顾个人生命安危，争分夺秒抢救被困群众。6月6日（周日）中午12:00，中央电视台社会与法频道《应急时刻》节目将播出地震救援专题节目，为您讲述惊心动魄的救援故事。敬请关注！@CCTV生命线,【预告丨6月6日中午12:00央视12频道《应急时刻》：云南漾濞、青海果洛地震救援纪实】5月21日21时48分、O22日2时4分，云南大理州漾濞县、青海果洛州玛多县先后发生6.4级和7.4级地震。中央电视台社会与法频道《应急时刻》节目将播出地震救援专题节目，为您讲述惊心动魄的救援故事。敬请关注！
