id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,转发数,评论数,点赞数,发布时间,发布工具,retweet_id
4646686804148858	,KjAxihpj4,7343943340	,深情的王橙橙,#紧急驰援云南地震##情暖青海地震灾区#予人为乐，与己而乐。我在“驰援青海、云南地震灾区”项目捐款成功！让我与@高伟光全国后援会一道成为传递爱与快乐的使者。@中华思源工程扶贫基金会驰援青海、云南地震灾区,,,"高伟光全国后援会,中华思源工程扶贫基金会",0,0,0,2021-06-10 23:45,微公益,	
4646680328671730	,KjAmQAnUC,5315094565	,阿久吖阿久,#情暖青海地震灾区#我在“情暖青海地震灾区”项目捐款成功！希望我小小的力量和@尚九熙海外养鹅农场一起，在大大的世界里温暖更多人。@北京市众安公益基金会情暖青海地震灾区,,,"尚九熙海外养鹅农场,北京市众安公益基金会",0,0,0,2021-06-10 23:19,微公益,	
4646672028148230	,KjA9sybJ4,1629811167	,动次达次猫猫,#紧急驰援云南地震##情暖青海地震灾区#予人为乐，与己而乐。我在“驰援青海、云南地震灾区”项目捐款成功！@中华思源工程扶贫基金会http://t.cn/A6VVjIBl,,,中华思源工程扶贫基金会http,0,0,0,2021-06-10 22:46,微公益,	
4646670199948363	,KjA6vFK1t,5128341697	,小翅膀xy,#紧急驰援云南地震##情暖青海地震灾区#与爱同路，让爱回家。我在“驰援青海、云南地震灾区”项目捐款成功！愿我和@力丸_RIKIMARU公益组一起放大爱的力量！@中华思源工程扶贫基金会驰援青海、云南地震灾区,,,"力丸_RIKIMARU公益组,中华思源工程扶贫基金会",1,0,0,2021-06-10 22:39,微公益,	
4646668606111932	,KjA3WpDZy,1429751054	,绝情的极小光,#紧急驰援云南地震##情暖青海地震灾区#涓滴之水成海洋，我在“驰援青海、云南地震灾区”项目捐款成功！携手@高伟光全国后援会，凝聚颗颗爱心点燃更多希望。@中华思源工程扶贫基金会驰援青海、云南地震灾区,,,"高伟光全国后援会,中华思源工程扶贫基金会",0,0,0,2021-06-10 22:33,微公益,	
4646668525642334	,KjA3OnFPo,1429751054	,绝情的极小光,#紧急驰援云南地震##情暖青海地震灾区#赠人玫瑰，手有余香。我在“驰援青海、云南地震灾区”项目捐款成功！愿我和@高伟光全国后援会让爱心传递。@中华思源工程扶贫基金会驰援青海、云南地震灾区,,,"高伟光全国后援会,中华思源工程扶贫基金会",0,0,0,2021-06-10 22:32,微公益,	
4646668458531054	,KjA3HzNjE,1429751054	,绝情的极小光,#紧急驰援云南地震##情暖青海地震灾区#小善意，大温暖。我在“驰援青海、云南地震灾区”项目捐款成功！和@高伟光全国后援会一起用善举温暖更多心灵！@中华思源工程扶贫基金会驰援青海、云南地震灾区,,,"高伟光全国后援会,中华思源工程扶贫基金会",0,0,0,2021-06-10 22:32,微公益,	
4646667565669571	,KjA2gnMUH,1760421017	,毒董地质,青海玛多7.4级地震山崩地裂，好可怕！#青海发生7.4级地震#,,,,1,1,6,2021-06-10 22:29,iPhone 8,	
4646667321876774	,KjA1S7Sey,3223612932	,ttm猫,#情暖青海地震灾区#小善意，大温暖。我在“情暖青海地震灾区”项目捐款成功！和@十年之约_张云雷个站一起用善举温暖更多心灵！@北京市众安公益基金会情暖青海地震灾区,,,"十年之约_张云雷个站,北京市众安公益基金会",0,0,0,2021-06-10 22:28,微公益,	
4646666864958597	,KjA18kNXn,5421758944	,甜甜是酷盖9785,#情暖青海地震灾区#予人为乐，与己而乐。我在“情暖青海地震灾区”项目捐款成功！让我与@王一博正能量粉丝公益站一道成为传递爱与快乐的使者。@北京市众安公益基金会情暖青海地震灾区,,,"王一博正能量粉丝公益站,北京市众安公益基金会",0,0,1,2021-06-10 22:26,微公益,	
4646666323626258	,KjA0gfdm2,7302108394	,半夏-v-m,#紧急驰援云南地震##情暖青海地震灾区#予人为乐，与己而乐。我在“驰援青海、云南地震灾区”项目捐款成功！让我与@Crucis_周震南公益个站一道成为传递爱与快乐的使者。@中华思源工程扶贫基金会驰援青海、云南地震灾区,,,"Crucis_周震南公益个站,中华思源工程扶贫基金会",0,0,0,2021-06-10 22:24,微公益,	
4646666168438966	,KjA00zpmm,3911905985	,white_咩咩,心心念念了大半年的西北之行因为青海地震取消了，同时大理丽江附近也地震，转着计划去西双版纳，中午差点连机票都定了，结果今天云南又地震，感觉就是不想我出去玩。现在决定去重庆，希望可以顺顺利利，平平安安的去毕业旅行🙏🙏🙏,,,,0,0,2,2021-06-10 22:23,荣耀10青春版,	
4646665275575340	,KjzYznooQ,5219950019	,画船听雨冥9,#紧急驰援云南地震##情暖青海地震灾区#小善意，大温暖。我在“驰援青海、云南地震灾区”项目捐款成功！和@力丸_RIKIMARU公益组一起用善举温暖更多心灵！@中华思源工程扶贫基金会驰援青海、云南地震灾区,,,"力丸_RIKIMARU公益组,中华思源工程扶贫基金会",1,0,0,2021-06-10 22:19,微公益,	
