id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,转发数,评论数,点赞数,发布时间,发布工具,retweet_id
4641420722574024	,KhnxCaNCw,3256264064	,XinnJDii-Y,#紧急驰援云南地震##情暖青海地震灾区#予人为乐，与己而乐。我在“驰援青海、云南地震灾区”项目捐款成功！让我与@力丸_RIKIMARU公益组一道成为传递爱与快乐的使者。@中华思源工程扶贫基金会驰援青海、云南地震灾区,,,"力丸_RIKIMARU公益组,中华思源工程扶贫基金会",1,0,0,2021-05-27 10:59,微公益,	
4641420680626717	,Khnxy2D2l,7574721480	,力丸丸82475,#紧急驰援云南地震##情暖青海地震灾区#与爱同路，让爱回家。我在“驰援青海、云南地震灾区”项目捐款成功！愿我和@力丸_RIKIMARU公益组一起放大爱的力量！@中华思源工程扶贫基金会驰援青海、云南地震灾区,,,"力丸_RIKIMARU公益组,中华思源工程扶贫基金会",1,0,0,2021-05-27 10:59,微公益,	
4641420638421345	,KhnxtzkM9,5537306370	,HotPeach04,#紧急驰援云南地震##情暖青海地震灾区#涓滴之水成海洋，我在“驰援青海、云南地震灾区”项目捐款成功！携手@力丸_RIKIMARU公益组，凝聚颗颗爱心点燃更多希望。@中华思源工程扶贫基金会驰援青海、云南地震灾区,,,"力丸_RIKIMARU公益组,中华思源工程扶贫基金会",1,0,0,2021-05-27 10:59,微公益,	
4641420575245588	,Khnxnm0Cg,6336437496	,力丸是我宝儿,#紧急驰援云南地震##情暖青海地震灾区#予人为乐，与己而乐。我在“驰援青海、云南地震灾区”项目捐款成功！让我与@力丸_RIKIMARU公益组一道成为传递爱与快乐的使者。@中华思源工程扶贫基金会驰援青海、云南地震灾区,,,"力丸_RIKIMARU公益组,中华思源工程扶贫基金会",1,0,0,2021-05-27 10:59,微公益,	
4641213119992197	,Khi8LFVqt,2089358175	,微公益,5月21日21时48分，云南大理州漾濞县发生6.4级地震，震源深度8千米。5月22日2时4分，青海省果洛藏族自治州玛多县发生7.4级地震，震源深度17千米。灾区一线情况牵动人心，公益机构迅速响应灾情，加入#紧急驰援云南地震##情暖青海地震灾区#的队伍中。抗震救灾公益项目于微公益平台上线后48小时，便已有,,,,7218,2513,122321,2021-05-26 21:15,HUAWEI P40 5G,	
4641420520197702	,Khnxi0PqK,1785893123	,京北影视,//@微博小秘书:一方有难，八方支援！地震发生后，@微公益迅速响应灾情，加入#紧急驰援云南地震##情暖青海地震灾区#的队伍中，抗震救灾公益项目于微公益平台上线后48小时，募集善款超500万元。,,,"微博小秘书,微公益",0,0,0,2021-05-27 10:59,荣耀30S 5G 美由芯生,4641213119992197	
4641420449157001	,KhnxaCq9z,2263763425	,梵葭xwhhh,#紧急驰援云南地震##情暖青海地震灾区#小善意，大温暖。我在“驰援青海、云南地震灾区”项目捐款成功！和@李汶翰硬盒数据空间一起用善举温暖更多心灵！@中华思源工程扶贫基金会驰援青海、云南地震灾区,,,"李汶翰硬盒数据空间,中华思源工程扶贫基金会",1,0,0,2021-05-27 10:58,微公益,	
4641420419270259	,Khnx7CTCj,2076532085	,沈叶昭昭,#紧急驰援云南地震##情暖青海地震灾区#涓滴之水成海洋，我在“驰援青海、云南地震灾区”项目捐款成功！携手@弥雾丨龚俊x张哲瀚公益站，凝聚颗颗爱心点燃更多希望。@中华思源工程扶贫基金会驰援青海、云南地震灾区,,,"弥雾丨龚俊x张哲瀚公益站,中华思源工程扶贫基金会",1,0,0,2021-05-27 10:58,微公益,	
4641420336173009	,KhnwZpTSF,5299080811	,梵葭xwhxw,#紧急驰援云南地震##情暖青海地震灾区#小善意，大温暖。我在“驰援青海、云南地震灾区”项目捐款成功！和@李汶翰硬盒数据空间一起用善举温暖更多心灵！@中华思源工程扶贫基金会驰援青海、云南地震灾区,,,"李汶翰硬盒数据空间,中华思源工程扶贫基金会",1,0,0,2021-05-27 10:58,微公益,	
4641420332503197	,KhnwZavc9,6587465021	,捡个狗蛋儿,#情暖青海地震灾区#,,,,0,0,0,2021-05-27 10:58,Android,	
