id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4657187861303288,KnZIu5t2M,5188956097,三峡老蒋,夏天太热苏州33℃，一箱现采摘#不可辜负的美食#橙子容易跑水分🍊打蜡有毒，最好方法如下，@四川观察@四川观察@人民日报@农民频道@新浪新闻@头条新闻@新华日报#十堰燃气爆炸已致25人死亡##滴滴出行APP下架##美食分享##美食时刻##随手拍##自然风光##遇见艺术#L三峡老蒋的微博视频,,,"四川观察,人民日报,农民频道,新浪新闻,头条新闻,新华日报","不可辜负的美食,十堰燃气爆炸已致25人死亡,滴滴出行APP下架,美食分享,美食时刻,随手拍,自然风光,遇见艺术",0,4,1,2021-07-09 23:12,微博视频号,,"http://f.video.weibocdn.com/BtrcqS1zlx07O6jXa8sM010412002B8E0E010.mp4?label=mp4_ld&template=360x720.24.0&trans_finger=81b11b8c5ffb62d33ceb3244bdd17e7b&ori=0&ps=1BVp4ysnknHVZu&Expires=1627445996&ssig=ytLjbSPIoA&KID=unistore,video",
4649327705982492,KkHeOp6jO,2656274875,央视新闻,【湖北#十堰燃气爆炸8人被刑拘#】据十堰发布：根据初步调查结果，十堰市公安机关对包括十堰东风中燃城市燃气发展有限公司总经理黄某在内的8名犯罪嫌疑人采取刑事拘留措施。初步调查显示，发生事故的天然气管道系十堰东风中燃城市燃气发展有限公司所有，该公司安全管理制度不健全，责任不落实，未严格执行燃气管道巡线检查制度，相关设备运行存在严重缺陷。目前，事故调查正在深入进行中，待调查完成后，将依法依纪对有关单位和个人严肃追究问责。6月13日，湖北省十堰市张湾区艳湖社区集贸市场发生燃气爆炸事故。,,,,十堰燃气爆炸8人被刑拘,1217,2439,37217,2021-06-18 06:39,微博 weibo.com,['http://ww2.sinaimg.cn/large/002TLsr9ly1grm11tu9v5j614k0su0yk02.jpg'],,
4657118811264883,KnXV75j3l,3837007443,冬眠中的小怪兽1,//@揭阳空港消防:【湖北#十堰燃气爆炸8人被刑拘#】,,,揭阳空港消防,十堰燃气爆炸8人被刑拘,0,0,0,2021-07-09 18:38,iPhone客户端,,,4649327705982492
4647576374083912,KjXG5h8py,1417206603,胡江波在北京,#十堰小区发生严重燃气爆炸事故#，市民废墟中自发搜救伤者。6月13日早上，湖北十堰市张湾区艳湖小区发生燃气爆炸事故，爆炸造成多人受困。据现场视频显示，爆炸对建筑造成严重伤害，不少市民第一时间到现场搜救伤者。目前，十堰市委市政府正在组织救援，事故原因正在调查中。L胡江波在北京的微博视频,,,,十堰小区发生严重燃气爆炸事故,51,35,55,2021-06-13 10:40,iPhone XS Max,,"http://f.video.weibocdn.com/003hvzl6gx07Nq16WkZx01041200h3F50E010.mp4?label=mp4_ld&template=360x640.24.0&trans_finger=81b11b8c5ffb62d33ceb3244bdd17e7b&ori=0&ps=1BVp4ysnknHVZu&Expires=1627445996&ssig=UJM2wz%2FcuL&KID=unistore,video",
4657108430095962,KnXEn0oXM,6477364374,球球没烦恼oo,//@胡江波在北京:#湖北十堰爆炸事故已致11人死亡37人重伤#O13日早晨6时30分左右，湖北十堰一小区发生燃气爆炸事故。据指挥部最新消息，截至上午11时，前方现场救援指挥部搜救出144人，目前均在医院接受救治，其中重伤37人，死亡11人。（人民日报记者范昊天、吴君）,,,胡江波在北京,湖北十堰爆炸事故已致11人死亡 37人重伤,0,0,0,2021-07-09 17:57,iPhone客户端,,,4647576374083912
4657067342172143,KnWA6974z,2316926125,济源市住建局,【防患于未“燃”——示范区住建局开展液化气安全隐患排查】为深刻汲取湖北十堰“6•13”燃气爆炸事故教训，进一步加强燃气安全监管工作，防范燃气行业事故发生，7月7日，示范区纪工委驻住建局纪检组与济源市公用事业管理局组成安全专项检查小组，对济源市城投燃气经营有限公司、集贸市场、餐饮等重点场所逐一进行隐患排查，保障人民群众生命财产安全。O防患于未“燃”——示范区住建局开展液化气安全隐患排查,,,,,0,0,1,2021-07-09 15:14,HUAWEI P40 5G,,,
4657066247456532,KnWykvhME,7540354673,阿得的第三块备用电池,@澎湃新闻@人民日报@共青团中央来看看//@来JL确实没好果汁吃:十堰爆炸13日死亡12人，15日激增至25人，20天来无后续信息，看来当媒还是比较有国际精神，大力关怀水深火热的迈阿密人民。//@二十九亿万光年:本国官媒最大的优点就是选择性忽略本国不好的新闻，选择性发表外国水深火热的新闻,,,"澎湃新闻,人民日报,共青团中央,来JL确实没好果汁吃,二十九亿万光年",,0,0,0,2021-07-09 15:09,微博国际版,,,
4657065338080906,KnWwRxUdc,1919137762,娱公一山,#谢蕾蕾#李梓萌：中央就湖北十堰爆炸事故对各地各部门发出重要提醒，八个字尤其关键！主播说联播L爆笑吐槽最TOP的微博视频,,,,谢蕾蕾,86,248,150,2021-07-09 15:06,微博视频号,,"http://f.video.weibocdn.com/yVDAVoFglx07NXvt9GSA01041200cqIv0E010.mp4?label=mp4_ld&template=360x640.24.0&trans_finger=81b11b8c5ffb62d33ceb3244bdd17e7b&ori=0&ps=1BVp4ysnknHVZu&Expires=1627445996&ssig=ViL3W1c7Oj&KID=unistore,video",
4657063470302523,KnWtR1gHp,6008261853,大港油田公司,【天然气公司夯实燃气安全管理防患未然】为深入贯彻落实上级关于认真汲取湖北十堰燃气爆炸事故深刻教训的文件精神，天然气公司举一反三、压实责任，加强燃气安全管理升级工作，狠抓燃气泄漏风险管控，确保燃气系统安全平稳运行。,,,,,0,0,0,2021-07-09 14:58,微博 weibo.com,,,
4656946408064006,KnTr2xPOC,7358442601,奋斗的阿昌,加油站⛽️和地下城市管廊安装上气体传感器系统安全才有保障！L奋斗的阿昌的微博视频,,保定·秀兰城市美居,,,1,1,0,2021-07-09 07:13,微博视频号,,"http://f.video.weibocdn.com/xvRPGofKlx07O5g41Cmk010412002Uf00E010.mp4?label=mp4_ld&template=360x640.24.0&trans_finger=81b11b8c5ffb62d33ceb3244bdd17e7b&ori=0&ps=1BVp4ysnknHVZu&Expires=1627445996&ssig=hbxndWlhpp&KID=unistore,video",
4657045846885579,KnW1qsTfJ,2242703245,飞翔的天空_2013,#十堰发生燃气爆炸事故##加油站##智慧城市##雄安综合管廊##雄安##可燃气#可燃气体，有毒气体的监测不可忽视，预防是关键，防止出现重大安全事故。,,,,"十堰发生燃气爆炸事故,加油站,智慧城市,雄安综合管廊,雄安,可燃气",0,0,0,2021-07-09 13:48,K30S 至尊纪念版,,,4656946408064006
4656982608314607,KnUnqyT0z,3176012017,祥仔冯,【安徽石油深入排查除隐患按章操作保安全】为深刻汲取湖北十堰燃气爆炸事故惨痛教训，认真贯彻落实集团公司总经理2号令，安徽石油结合高温季节CNG用量大幅增加，安全事故多发易发的特点，围绕6月安全生产月活动，进一步加强加气站安全管理，加大对重点设备、薄弱环节和重大危险源的检查管控力度，全...展开,,,,,0,0,0,2021-07-09 09:37,新版微博 weibo.com,['http://ww1.sinaimg.cn/large/bd4e18f1ly1gsag6c6kbsj20jg0czdh6.jpg'],,
