id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4649951818683661,KkXtrAr13,1297954675,今日女报,【#十堰燃气爆炸8人被刑拘#】6月13日，湖北十堰市张湾区艳湖社区集贸市场发生燃气爆炸事故，导致25人死亡。据初步调查结果，十堰市公安机关对包括十堰东风中燃城市燃气发展有限公司总经理黄某在内的8名犯罪嫌疑人采取刑事拘留措施。#宝藏蓝v激励计划#L铁骥视频的微博视频,,,,"十堰燃气爆炸8人被刑拘,宝藏蓝v激励计划",0,0,0,2021-06-19 23:59,iPhone客户端,,"http://f.video.weibocdn.com/5s6surK1lx07Ny5dx3Ko010412003vG70E010.mp4?label=mp4_ld&template=640x360.25.0&trans_finger=40a32e8439c5409a63ccf853562a60ef&ori=0&ps=1BVp4ysnknHVZu&Expires=1626078981&ssig=vGkBALlxjx&KID=unistore,video",
4649950287500695,KkXqYvtgX,2090444163,身在天空不得不飞,应勇：深刻汲取十堰燃气爆炸事故教训坚决扛起政治责任守牢安全生产红线底线生命线O网页链接,,,,,0,0,0,2021-06-19 23:53,iPhone客户端,['http://ww2.sinaimg.cn/large/7c99a583gy1gro0iy134sj208c08c74k.jpg'],,
4649950056548897,KkXqBrtFn,3840241905,万宁发布,【省安委办第二检查组到万宁督导检查安全生产专项工作】6月19日，以省旅游和文化广电体育厅总规划师周安伟为组长的省安委办第二检查组来到我市，对安全生产专项工作情况进行督导检查，此次安全生产专项工作检查采取全面督导与重点核查相结合，明查与暗访相结合的方式，严格检查安全生产各项工作措施落实情况。市政府副市长王振羽、市应急管理局、科工信局、消防救援大队等主要部门负责人陪同检查。检查组先后来到东山岭、东澳口味王公司、首创奥特莱斯、海南六十六度健康管理有限公司、万宁民生燃气有限公司等地进行检查，实地了解企业安全责任落实、安全设备运行、安全风险排查管控等情况，同时就安全生产工作的相关文件、记录、台账、清单等内容进行查阅检查，并随机抽查有关人员对安全防范措施、安全工作部署、有关设备运用及管理等掌握情况，现场验证具体工作效果。此外，检查组还深入察看生产车间，商场消控中心、消防通道、火灾报警控制器等情况，进一步对企业生产安全管理制度与操作规程进行逐一了解，并针对发现的安全隐患和问题，予以指导意见和建议。检查组要求，相关单位、企业要以湖北十堰“6•13”燃气爆炸典型事故案例为警为鉴，全面落实各项安全生产管理制度和安全措施，切实增强抓好安全生产工作的使命感和责任感，同时要强化应急预案，提升应急处理能力，加大安全投入、强化安全培训、提高安全意识，真正把安全生产各项工作任务落到实处。要加强各类设备的维护以及隐患排查，确保将隐患消除，营造更为安全的生产生活环境。要压实安全生产责任，建立隐患清单、漏洞清单，梳理查找安全生产领域的漏洞和短板，切实防范遏制事故发生。王振羽强调，相关单位、企业要增强安全防范意识，树立安全发展理念，压实安全生产责任制，狠抓安全生产的关键点和风险点，多措并举扎实推进安全生产工作。针对近期发生的典型事故，要开展相应警示教育和事故防范措施，同时对已发现的安全隐患和问题，要立即进行整改，务必做到防微杜渐、警钟长鸣，切实维护社会大局稳定。记者：朱乃飞,,,,,0,0,0,2021-06-19 23:52,微博 weibo.com,"['http://ww2.sinaimg.cn/large/e4e570f1gy1gro0hxmr4oj20u00oa0up.jpg', 'http://ww4.sinaimg.cn/large/e4e570f1gy1gro0hxbmb9j20u00mi0uj.jpg', 'http://ww3.sinaimg.cn/large/e4e570f1gy1gro0hxak6nj20u00mimyx.jpg', 'http://ww1.sinaimg.cn/large/e4e570f1gy1gro0hxb1u8j20u00mi76d.jpg', 'http://ww2.sinaimg.cn/large/e4e570f1gy1gro0hxc2yuj20u00miq4j.jpg']",,
4649948174616895,KkXnzjn43,6568408353,迟来者2025,湖北：十堰燃气爆炸事故刑拘8名犯罪嫌疑人O网页链接,,,,,0,0,0,2021-06-19 23:44,学习强国客户端,['http://ww3.sinaimg.cn/large/007awn4dgy1gro09yl5sbj3046046mx1.jpg'],,
4649946383128815,KkXkGd7WL,3243757400,安徽商贸学院警务站,【#十堰燃气爆炸已致25人死亡#】14日晚，湖北省人民政府新闻办公室召开新闻发布会，通报十堰市张湾区燃气爆炸事故救援处置进展。截至目前，本次事故已经造成25人死亡。目前现场搜救仍在继续。L封面新闻的微博视频,,,,十堰燃气爆炸已致25人死亡,0,0,0,2021-06-19 23:37,微博视频号,,"http://f.video.weibocdn.com/eKYZODSglx07NsgfmwoM010412002fqs0E010.mp4?label=mp4_ld&template=360x640.24.0&trans_finger=81b11b8c5ffb62d33ceb3244bdd17e7b&ori=0&ps=1BVp4ysnknHVZu&Expires=1626078981&ssig=upYRWMutgP&KID=unistore,video",
4649944726902799,KkXi0sXJt,1321566695,zhbgyh_c270de,《十堰燃气爆炸事故已致25死刑拘8名犯罪嫌疑人初步调查情况公布》此视频已有96万次播放O网页链接,,,,,0,0,0,2021-06-19 23:31,百度极速版,['http://ww3.sinaimg.cn/large/4ec581e7ly1grnzvvmsrhj20k00b90tz.jpg'],,
4649943086929598,KkXfmt4HI,2468640191,青春闪亮点-2生活正青春,发布了头条文章：《湖北十堰燃气爆炸事故刑拘8名犯罪嫌疑人》O湖北十堰燃气爆炸事故刑拘8名犯罪嫌疑人,http://t.cn/A6fhsUMd,,,,0,0,0,2021-06-19 23:24,微博 weibo.com,,,
4648489604088885,Kklr2h9HL,2426194884,封跃平律师,#十堰天然气爆炸的背后#最近的十堰天然气爆炸事件，背后有怎么样的法律逻辑？一场重大的意外事故，也给很多人带来了“天然气焦虑”，此类重大事故，是否有人要站出来担责？#V光深评#L封跃平律师的微博视频,,,,"十堰天然气爆炸的背后,V光深评",235,78,162,2021-06-15 23:09,微博视频号,,"http://f.video.weibocdn.com/fGrN4m5Tlx07Nu2jNoeI01041200p6NK0E010.mp4?label=mp4_ld&template=640x360.25.0&trans_finger=6006a648d0db83b7d9951b3cee381a9c&ori=0&ps=1BVp4ysnknHVZu&Expires=1626078981&ssig=qSjUNUzNHw&KID=unistore,video",
4649941890242639,KkXdr117x,5054959334,花开花落-有时节,//@思明博览:#十堰天然气爆炸的背后#担责是必须的！要看谁担责？担什么责？多大范围的人担责？其实，更重要的是：如何引以为戒！,,,思明博览,十堰天然气爆炸的背后,0,0,0,2021-06-19 23:20,iPhone客户端,,,4648489604088885
4649940976932897,KkXbXt5yV,7555059705,随州腾驭SVW,应勇：深刻汲取十堰燃气爆炸事故教训坚决扛起政治责任守牢安全生产红线底线生命线O网页链接,,,,,0,0,0,2021-06-19 23:16,iPhone客户端,['http://ww2.sinaimg.cn/large/008fig9Hgy1grnzgfjo64j308c08c74k.jpg'],,
4649937004401058,KkX5yisUO,3030524782,晋城中公教育,#时政##时政热点#6月19日中公简报，星期六，农历五月初十1、山东省教育厅：暑假期间学校不得以任何形式参与、组织学生参加各类辅导培训班。2、北京鼓励非居住建筑改建宿舍型租赁住房，向周边单位员工提供。3、十堰燃气爆炸事故续：包括燃气公司总经理在内的8名嫌疑人被刑拘，燃气管道相关设备运行存严重缺陷。4、继内蒙古、青海等地之后，四川开启虚拟货币挖矿项目清退工作。5、合长高速全线贯通，重庆正式迈入“三环时代”。6、全球在建规模最大的水电项目“白鹤滩水电站”18日成功接入四川电网。7、四川已实现川渝黔户籍迁移“跨省通办”，三地户籍迁移实现“一地办结”。8、国际足联最新排名：国足亚洲第九，和伊拉克同为第四档球队。视频同学录#9、欧洲理事会正式将美国列入允许入境欧盟的名单。10、继黑、白、黄真菌后，印度又发现首例绿真菌症病例。11、联合国教科文组织世界遗产委员会第44届会议将在中国举行。12、缅甸仰光市区连续发生多起爆炸，导致军车起火多人伤亡。,,,,"时政,时政热点",0,1,0,2021-06-19 23:00,Android,,,
4649935956345724,KkX3RqCOo,1257200120,紫娥如是曰,#十堰天然气爆炸#事故地点虽是在菜市场，但关键并不是在菜市场。菜市场又不开伙。关键是在菜市场门口那一溜门面房。那里有几家餐饮店你们数过没？这些餐饮店用的是什么气？十堰方最新通报上说，“相关设备运行存在严重缺陷”，难道这些相关设备是专为菜市场配备的吗？应该是管着那一片儿包括居民楼的才是。可为啥爆炸的偏偏是有着多家餐饮店的菜市场？出了重大事故，普通人的心思基本都是，最好燃气公司全责，那样的话赔付都是公家包。如果查出是商户私接盗气而恰好设备陈旧再加上燃气公司巡查不严引起爆炸的话，性质就不一样了。然而，终归要实事求是的，不是吗？我和诸位一样痛心事故死伤者，但我更支持厘清责任。,,,,十堰天然气爆炸,2,0,0,2021-06-19 22:56,nova7你在焦点在,,,
4649934048201123,KkX0Mypub,2082170703,平安浚县,【省公安厅党委学习贯彻习近平总书记重要讲话指示精神坚决履行好职责使】6月19日上午，省公安厅召开党委扩大会议，认真学习习近平总书记在青海考察时的重要讲话精神和对湖北十堰市张湾区艳湖社区集贸市场燃气爆炸事故作出的重要指示精神，研究贯彻落实意见。副省长、省公安厅党委书记、厅长顾雪飞主持会议并讲话。O省公安厅党委学习贯彻习近平总书记重要讲话指示精神坚决履行好职责使,,,,,0,0,0,2021-06-19 22:48,荣耀V20 4800万3D相机,,,
4649933052844663,KkWZbbW1F,2419711391,活力玉泉,#政法队伍教育整顿#【玉泉区召开区委常委会第210次会议暨全区政法队伍教育整顿领导小组第6次会议】6月19日，区委常委会第210次会议暨全区政法队伍教育整顿领导小组第6次会议召开，传达学习习近平总书记对湖北十堰市燃气爆炸事故作出的重要指示和李克强总理批示，以及石泰峰书记、布小林主席的贯彻落实意见，传达2020年度全区各盟市污染防治攻坚战成效考核结果，研究部署我区贯彻落实工作。玉泉区召开区委常委会第210次会议暨全区政法队伍教育整顿领导小组第6次会议区委书记、区政法队伍教育整顿领导小组组长程重重主持会议并讲话。会议强调，各单位各部门要深入学习贯彻习近平总书记重要指示精神和李克强总理批示要求，认真排查整治各类安全风险隐患，重点围绕消防、道路交通、地铁、建筑施工、油气管道、特种设备、危爆物品管理、食品安全、校园安全、大型活动、防汛等领域进行排查，切实把各类问题解决在萌芽状态，全力以赴做好防风险、保安全、促稳定各项工作，为建党百年营造良好氛围。会议强调，政法队伍教育整顿工作还远未结束，还需要持续用力，久久为功。要坚决把“两个维护”落实到政法队伍教育整顿全过程。要坚持问题导向，推动政法队伍教育整顿走深走实。要压实责任，以过硬的责任担当和工作作风推动教育整顿取得实效。会议强调，各单位各部门一定要提高政治站位、认清当前形势，坚持问题导向，对标抓好碳排放强度居高不下、空气环境质量改善、水污染防治、生态环境保护责任等问题整改，压实责任、狠抓督导，以过硬举措、过硬作风打好今年污染防治攻坚战的翻身仗。会议还传达了中央第四督导组组长车俊同志在下沉呼和浩特市“回头看”工作汇报会议和视察呼市政法队伍教育整顿工作时的讲话精神，听取了民生实事工作进展情况等。相关区级领导，各委办局主要负责同志及小黑河镇、各街道主要负责同志参加会议。(泉媒体记者：黄金星李水生）,,,,政法队伍教育整顿,0,0,1,2021-06-19 22:44,微博 weibo.com,['http://ww3.sinaimg.cn/large/9039dd9fly1grnyj6lcipj20m80etgn5.jpg'],,
